Symbol,Company Name,Series,Listing Date,Paid Up Value,Market Lot,ISIN,Face Value,Sector,Industry,Current Price,Daily Change %,Weekly Change %,Monthly Change %,Volume,Market Cap (Cr),P/E Ratio,52W High,52W Low
20MICRONS,20 Microns Limited,BE,06-OCT-2008,5,1,INE144J01027,5,Basic Materials,Other Industrial Metals & Mining,223.5,1.891950663783392,-4.07725321888412,-27.07993474714519,39237.0,788.6532608,13.279858,348.0,132.0
21STCENMGM,21st Century Management Services Limited,BE,03-MAY-1995,10,1,INE253B01015,10,Financial Services,Capital Markets,101.20999908447266,-2.0042599915668893,-9.62585854534101,-14.105068733183831,6894.0,106.270496,1.7859538,141.4,22.5
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1,Financial Services,Asset Management,1082.4000244140625,-0.8518757143690976,6.45161658228212,5.615460818567314,359373.0,41764.8738304,43.638573,1215.0,539.5
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10,Technology,Information Technology Services,26.389999389648438,-0.11355293928415518,-1.6399572691345707,-2.1142422632814717,346465.0,447.7392896,N/A,63.9,25.23
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,Industrials,Conglomerates,30685.5,-1.9771924892365664,-8.027834164875536,-9.332525706181302,5261.0,34562.7099136,57.75534,40856.5,28498.95
3PLAND,3P Land Holdings Limited,BE,19-JUL-1995,2,1,INE105C01023,2,N/A,N/A,47.099998474121094,2.9733203886053814,5.463498958901975,35.30593684566739,50247.0,0.0,N/A,56.15,24.05
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10,Financial Services,Capital Markets,470.6000061035156,-0.21204410242957064,-1.7741598605121847,-6.9040541832807865,30288.0,1474.0937728,24.583332,758.45,458.0
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2,Technology,Software - Application,579.2000122070312,0.2336309904183726,0.47705784400475326,30.626977938626354,254233.0,2663.3373696,36.28374,690.75,314.65
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10,Industrials,Engineering & Construction,16.90999984741211,-0.8211108264693018,0.4753412006459372,-0.9373160531492147,108863.0,297.6428032,105.625,24.57,9.55
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10,Technology,Information Technology Services,108.97000122070312,1.1698098105472077,3.1619843360140587,-10.570371288230639,9898.0,141.0691456,39.847828,160.85,71.8
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10,Financial Services,Mortgage Finance,416.79998779296875,-1.4540783157731896,-1.6749247949386463,-0.5843797750819916,422079.0,17897.3343744,25.796654,516.8,292.0
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1,Energy,Oil & Gas Equipment & Services,10.720000267028809,2.2900833518668904,2.3877745331800773,0.18692016934760566,146445.0,106.3124992,1.707317,17.15,6.9
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10,Healthcare,Drug Manufacturers - Specialty & Generic,56.290000915527344,2.925584803428694,-2.375995378963314,-8.14294706783737,7695.0,160.1672576,27.78,74.8,37.35
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10,Industrials,Specialty Industrial Machinery,325.3500061035156,2.585531251723019,9.841320963926822,25.32742621499868,205895.0,341.9499776,47.59475,350.0,242.1
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,INE01C001026,5,Industrials,Electrical Equipment & Parts,73.02999877929688,2.4838571288317337,22.34880291422683,17.204296533045742,154375.0,230.8110592,142.39217,87.333336,42.416664
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10,Healthcare,Drug Manufacturers - Specialty & Generic,449.25,-1.2094557449147882,-3.883182313541937,-8.053623743749784,110523.0,4107.1501312,27.141134,635.0,431.05
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,Basic Materials,Specialty Chemicals,430.8500061035156,1.23355261388861,0.5132420945659772,-11.792405499849115,1013966.0,15588.3175936,35.01629,769.25,422.6
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5,Healthcare,Drug Manufacturers - Specialty & Generic,653.4000244140625,5.908098141798828,0.7090068908203518,10.905541430453077,391072.0,5947.3514496,25.99364,721.7,399.55
AARTISURF,Aarti Surfactants Limited,BE,14-JUL-2020,10,1,INE09EO01013,10,Basic Materials,Specialty Chemicals,644.4000244140625,0.8608545609376161,0.2723099561998097,-11.34346205424433,3400.0,543.1202816,35.455547,918.0,548.15
AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-NOV-2006,10,1,INE273D01019,10,Consumer Cyclical,Textile Manufacturing,69.7300033569336,1.9891773522263783,10.367209591832225,49.82810912165081,13571.0,163.8432,9.199209,69.73,21.65
