Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Forward P/E,Price to Book,ROE,ROA,Revenue,EPS,Latest Price,Daily Change %,Weekly Change %,Monthly Change %,Volume,52 Week High,52 Week Low
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,16550124847104,24.381977,19.179028,2.0195749,0.08479,0.03875,9249379844096,50.16,1223.0,-1.5,-4.02,-10.68,19428850.0,1608.8,1184.95
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,14735938420736,31.118963,26.301758,14.518878,0.46772,0.24511999,2486920019968,130.88,4072.85009765625,0.82,-2.97,-0.17,2384254.0,4592.25,3433.0
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,13307851309056,19.71244,15.658274,2.7531595,0.1153,0.01712,2761061040128,88.33,1741.199951171875,-0.06,1.34,0.72,17856827.0,1794.0,1363.55
INFY.NS,Infosys Limited,Technology,Information Technology Services,7596653674496,28.23353,25.415264,704.0499,0.31404,0.15253,18836000768,64.96,1834.050048828125,0.51,-1.86,0.12,5436293.0,1991.45,1358.35
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,8822630383616,18.924788,17.007683,3.1465049,0.18731001,0.02158,1638509182976,66.08,1250.550048828125,0.12,-1.58,-0.68,9593214.0,1362.35,918.5
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,5599651692544,54.613796,46.75241,11.0235195,0.20233999,0.10564999,624099983360,43.63,2382.800048828125,-1.14,-3.2,-11.18,1291526.0,3035.0,2172.05
ITC.NS,ITC Limited,Consumer Defensive,Tobacco,5719312039936,27.875,24.068417,7.600419,0.28645,0.17,751352676352,16.4,457.1499938964844,-2.18,-3.32,-5.48,19558649.0,528.5,399.35
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,6967897096192,9.73261,9.374378,1.5047817,0.16746001,0.01121,3360276873216,80.22,780.75,-2.77,-5.56,-4.08,29481857.0,912.0,558.3
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,9114632585216,73.501205,31.951958,10.13207,0.12929,0.0544,1554783010816,20.75,1525.1500244140625,-0.02,-1.96,-9.89,7356221.0,1779.0,960.0
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,3453632643072,15.833561,16.705847,2.3443751,0.16479999,0.0298,749093584896,109.71,1737.0999755859375,0.54,0.91,-2.91,3294004.0,1942.0,1543.85
